DEPT,Region,FOL,Question,Answer,Count,WTPS_Sum
Natural Resources Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_80,Strongly disagree,1,3.7971
Natural Resources Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_80,Unable to assess,1,3.7971
Natural Resources Canada,"British Columbia, Yukon",English,MAN_80,Strongly agree,11,38.1888
Natural Resources Canada,"British Columbia, Yukon",English,MAN_80,Somewhat agree,1,3.40455
Natural Resources Canada,"British Columbia, Yukon",English,MAN_80,Neither agree nor disagree,1,3.80175
Natural Resources Canada,"British Columbia, Yukon",Not stated,MAN_80,Unable to assess,1,3.29115
Natural Resources Canada,National Capital Region,English,MAN_80,Strongly agree,76,260.76315
Natural Resources Canada,National Capital Region,English,MAN_80,Somewhat agree,24,80.15685
Natural Resources Canada,National Capital Region,English,MAN_80,Neither agree nor disagree,4,13.39875
Natural Resources Canada,National Capital Region,English,MAN_80,Somewhat disagree,6,19.6305
Natural Resources Canada,National Capital Region,English,MAN_80,Strongly disagree,2,6.6189
Natural Resources Canada,National Capital Region,English,MAN_80,Unable to assess,7,23.95275
Natural Resources Canada,National Capital Region,French,MAN_80,Strongly agree,37,120.96915
Natural Resources Canada,National Capital Region,French,MAN_80,Somewhat agree,18,59.1375
Natural Resources Canada,National Capital Region,French,MAN_80,Neither agree nor disagree,1,3.6786
Natural Resources Canada,National Capital Region,French,MAN_80,Unable to assess,7,21.80685
Natural Resources Canada,Not stated,English,MAN_80,Strongly disagree,1,3.47625
Natural Resources Canada,Not stated,French,MAN_80,Strongly agree,1,3.21435
Royal Canadian Mounted Police,Atlantic,English,MAN_80,Strongly agree,16,51.5397
Royal Canadian Mounted Police,Atlantic,English,MAN_80,Somewhat agree,6,18.03345
Royal Canadian Mounted Police,Atlantic,English,MAN_80,Neither agree nor disagree,2,6.07815
Royal Canadian Mounted Police,Atlantic,English,MAN_80,Strongly disagree,1,3.33945
Royal Canadian Mounted Police,Atlantic,English,MAN_80,Unable to assess,3,9.5208
Royal Canadian Mounted Police,Atlantic,French,MAN_80,Strongly agree,3,9.42885
Royal Canadian Mounted Police,Atlantic,French,MAN_80,Somewhat agree,2,6.1251
Royal Canadian Mounted Police,Atlantic,French,MAN_80,Unable to assess,1,3.33945
Royal Canadian Mounted Police,Quebec (excluding the National Capital Region),English,MAN_80,Strongly agree,1,2.8605
Royal Canadian Mounted Police,Quebec (excluding the National Capital Region),English,MAN_80,Somewhat disagree,1,3.33945
Royal Canadian Mounted Police,Quebec (excluding the National Capital Region),French,MAN_80,Strongly agree,2,6.51765
Royal Canadian Mounted Police,Quebec (excluding the National Capital Region),French,MAN_80,Somewhat agree,2,6.6789
Royal Canadian Mounted Police,Quebec (excluding the National Capital Region),French,MAN_80,Somewhat disagree,1,2.87865
Royal Canadian Mounted Police,Ontario (excluding the National Capital Region),English,MAN_80,Strongly agree,1,2.74995
Royal Canadian Mounted Police,Ontario (excluding the National Capital Region),English,MAN_80,Somewhat agree,2,6.6789
Royal Canadian Mounted Police,Ontario (excluding the National Capital Region),English,MAN_80,Neither agree nor disagree,1,3.33945
Royal Canadian Mounted Police,Ontario (excluding the National Capital Region),English,MAN_80,Somewhat disagree,1,3.33945
Royal Canadian Mounted Police,Ontario (excluding the National Capital Region),English,MAN_80,Strongly disagree,1,3.33945
Royal Canadian Mounted Police,Ontario (excluding the National Capital Region),English,MAN_80,Unable to assess,2,6.2181
Royal Canadian Mounted Police,Ontario (excluding the National Capital Region),French,MAN_80,Strongly agree,2,6.2055
Royal Canadian Mounted Police,Ontario (excluding the National Capital Region),French,MAN_80,Neither agree nor disagree,1,3.33945
Royal Canadian Mounted Police,Ontario (excluding the National Capital Region),French,MAN_80,Somewhat disagree,1,3.33945
Royal Canadian Mounted Police,"Prairies, Nunavut, Northwest Territories",English,MAN_80,Strongly agree,54,184.12635
Royal Canadian Mounted Police,"Prairies, Nunavut, Northwest Territories",English,MAN_80,Somewhat agree,34,109.6413
Royal Canadian Mounted Police,"Prairies, Nunavut, Northwest Territories",English,MAN_80,Neither agree nor disagree,3,9.66075
Royal Canadian Mounted Police,"Prairies, Nunavut, Northwest Territories",English,MAN_80,Somewhat disagree,3,8.87505
Royal Canadian Mounted Police,"Prairies, Nunavut, Northwest Territories",English,MAN_80,Strongly disagree,2,6.7821
Royal Canadian Mounted Police,"Prairies, Nunavut, Northwest Territories",English,MAN_80,Unable to assess,3,9.39255
Royal Canadian Mounted Police,"Prairies, Nunavut, Northwest Territories",French,MAN_80,Strongly agree,1,3.33945
Royal Canadian Mounted Police,"Prairies, Nunavut, Northwest Territories",French,MAN_80,Unable to assess,1,3.33945
Royal Canadian Mounted Police,"British Columbia, Yukon",English,MAN_80,Strongly agree,35,114.44175
Royal Canadian Mounted Police,"British Columbia, Yukon",English,MAN_80,Somewhat agree,26,82.9743
Royal Canadian Mounted Police,"British Columbia, Yukon",English,MAN_80,Neither agree nor disagree,4,12.897
Royal Canadian Mounted Police,"British Columbia, Yukon",English,MAN_80,Somewhat disagree,4,12.897
Royal Canadian Mounted Police,"British Columbia, Yukon",English,MAN_80,Strongly disagree,1,2.87865
Royal Canadian Mounted Police,"British Columbia, Yukon",English,MAN_80,Unable to assess,8,26.0982
Royal Canadian Mounted Police,"British Columbia, Yukon",French,MAN_80,Somewhat agree,1,3.54045
Royal Canadian Mounted Police,National Capital Region,English,MAN_80,Strongly agree,51,159.7578
Royal Canadian Mounted Police,National Capital Region,English,MAN_80,Somewhat agree,20,65.6571
Royal Canadian Mounted Police,National Capital Region,English,MAN_80,Neither agree nor disagree,4,12.7143
Royal Canadian Mounted Police,National Capital Region,English,MAN_80,Somewhat disagree,3,8.21955
Royal Canadian Mounted Police,National Capital Region,English,MAN_80,Strongly disagree,1,2.87865
Royal Canadian Mounted Police,National Capital Region,English,MAN_80,Unable to assess,7,21.1452
Royal Canadian Mounted Police,National Capital Region,French,MAN_80,Strongly agree,36,114.06315
Royal Canadian Mounted Police,National Capital Region,French,MAN_80,Somewhat agree,29,92.5617
Royal Canadian Mounted Police,National Capital Region,French,MAN_80,Neither agree nor disagree,4,12.7683
Royal Canadian Mounted Police,National Capital Region,French,MAN_80,Somewhat disagree,3,8.93175
Royal Canadian Mounted Police,National Capital Region,French,MAN_80,Strongly disagree,2,6.6552
Royal Canadian Mounted Police,National Capital Region,French,MAN_80,Unable to assess,3,9.3939
Royal Canadian Mounted Police,Not stated,English,MAN_80,Strongly agree,1,2.71365
Indigenous and Northern Affairs Canada,Atlantic,English,MAN_80,Strongly agree,3,10.18665
Indigenous and Northern Affairs Canada,Atlantic,English,MAN_80,Somewhat agree,2,6.68505
Indigenous and Northern Affairs Canada,Atlantic,English,MAN_80,Strongly disagree,1,3.22125
Indigenous and Northern Affairs Canada,Atlantic,French,MAN_80,Somewhat agree,1,3.31605
Indigenous and Northern Affairs Canada,Quebec (excluding the National Capital Region),English,MAN_80,Strongly agree,1,2.9118
Indigenous and Northern Affairs Canada,Quebec (excluding the National Capital Region),French,MAN_80,Strongly agree,5,19.06965
Indigenous and Northern Affairs Canada,Quebec (excluding the National Capital Region),French,MAN_80,Somewhat agree,7,25.305
Indigenous and Northern Affairs Canada,Quebec (excluding the National Capital Region),French,MAN_80,Somewhat disagree,1,3.444
Indigenous and Northern Affairs Canada,Ontario (excluding the National Capital Region),English,MAN_80,Strongly agree,9,37.09575
Indigenous and Northern Affairs Canada,Ontario (excluding the National Capital Region),English,MAN_80,Somewhat agree,4,14.95035
Indigenous and Northern Affairs Canada,Ontario (excluding the National Capital Region),English,MAN_80,Neither agree nor disagree,1,3.444
Indigenous and Northern Affairs Canada,Ontario (excluding the National Capital Region),English,MAN_80,Unable to assess,1,3.444
Indigenous and Northern Affairs Canada,Ontario (excluding the National Capital Region),French,MAN_80,Strongly agree,1,3.31605
Indigenous and Northern Affairs Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_80,Strongly agree,42,149.4129
Indigenous and Northern Affairs Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_80,Somewhat agree,17,58.03065
Indigenous and Northern Affairs Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_80,Neither agree nor disagree,2,5.80335
Indigenous and Northern Affairs Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_80,Somewhat disagree,2,6.888
Indigenous and Northern Affairs Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_80,Strongly disagree,1,3.444
Indigenous and Northern Affairs Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_80,Unable to assess,5,19.69665
Indigenous and Northern Affairs Canada,"Prairies, Nunavut, Northwest Territories",French,MAN_80,Strongly agree,4,14.3979
Indigenous and Northern Affairs Canada,"Prairies, Nunavut, Northwest Territories",French,MAN_80,Somewhat agree,1,3.444
Indigenous and Northern Affairs Canada,"Prairies, Nunavut, Northwest Territories",French,MAN_80,Neither agree nor disagree,1,3.444
Indigenous and Northern Affairs Canada,"British Columbia, Yukon",English,MAN_80,Strongly agree,22,76.2288
Indigenous and Northern Affairs Canada,"British Columbia, Yukon",English,MAN_80,Somewhat agree,5,16.8891
Indigenous and Northern Affairs Canada,"British Columbia, Yukon",English,MAN_80,Unable to assess,2,6.6321
Indigenous and Northern Affairs Canada,"British Columbia, Yukon",French,MAN_80,Strongly agree,1,3.24105
Indigenous and Northern Affairs Canada,National Capital Region,English,MAN_80,Strongly agree,63,226.5312
Indigenous and Northern Affairs Canada,National Capital Region,English,MAN_80,Somewhat agree,24,87.69165
Indigenous and Northern Affairs Canada,National Capital Region,English,MAN_80,Neither agree nor disagree,7,26.04825
Indigenous and Northern Affairs Canada,National Capital Region,English,MAN_80,Somewhat disagree,3,10.18665
Indigenous and Northern Affairs Canada,National Capital Region,English,MAN_80,Strongly disagree,2,9.4926
Indigenous and Northern Affairs Canada,National Capital Region,English,MAN_80,Unable to assess,9,28.94595
Indigenous and Northern Affairs Canada,National Capital Region,French,MAN_80,Strongly agree,47,193.1772
Indigenous and Northern Affairs Canada,National Capital Region,French,MAN_80,Somewhat agree,21,77.14335
Indigenous and Northern Affairs Canada,National Capital Region,French,MAN_80,Neither agree nor disagree,1,2.89155
Indigenous and Northern Affairs Canada,National Capital Region,French,MAN_80,Somewhat disagree,1,3.31605
Indigenous and Northern Affairs Canada,National Capital Region,French,MAN_80,Unable to assess,2,6.6321
Indigenous and Northern Affairs Canada,National Capital Region,Not stated,MAN_80,Strongly agree,1,3.4266
Indigenous and Northern Affairs Canada,Not stated,English,MAN_80,Unable to assess,1,3.22875
Veterans Affairs Canada,Atlantic,English,MAN_80,Strongly agree,41,114.86625
Veterans Affairs Canada,Atlantic,English,MAN_80,Somewhat agree,19,53.3082
Veterans Affairs Canada,Atlantic,English,MAN_80,Neither agree nor disagree,4,10.8753
Veterans Affairs Canada,Atlantic,English,MAN_80,Somewhat disagree,1,2.73075
Veterans Affairs Canada,Atlantic,English,MAN_80,Strongly disagree,2,5.259
Veterans Affairs Canada,Atlantic,French,MAN_80,Strongly agree,6,17.0754
Veterans Affairs Canada,Atlantic,French,MAN_80,Somewhat agree,6,16.42755
Veterans Affairs Canada,Atlantic,French,MAN_80,Neither agree nor disagree,1,2.9868
Veterans Affairs Canada,Quebec (excluding the National Capital Region),French,MAN_80,Strongly agree,6,18.0216
Veterans Affairs Canada,Quebec (excluding the National Capital Region),French,MAN_80,Somewhat agree,7,19.41555
Veterans Affairs Canada,Quebec (excluding the National Capital Region),French,MAN_80,Somewhat disagree,2,5.4531
Veterans Affairs Canada,Quebec (excluding the National Capital Region),French,MAN_80,Unable to assess,1,2.9868
Veterans Affairs Canada,Ontario (excluding the National Capital Region),English,MAN_80,Strongly agree,10,29.29965
Veterans Affairs Canada,Ontario (excluding the National Capital Region),English,MAN_80,Somewhat agree,4,10.63635
Veterans Affairs Canada,Ontario (excluding the National Capital Region),English,MAN_80,Somewhat disagree,1,2.77365
Veterans Affairs Canada,Ontario (excluding the National Capital Region),English,MAN_80,Strongly disagree,1,2.77365
Veterans Affairs Canada,Ontario (excluding the National Capital Region),English,MAN_80,Unable to assess,1,2.77365
Veterans Affairs Canada,Ontario (excluding the National Capital Region),French,MAN_80,Strongly agree,1,2.6295
Veterans Affairs Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_80,Strongly agree,3,7.9032
Veterans Affairs Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_80,Somewhat agree,1,2.8236
Veterans Affairs Canada,"British Columbia, Yukon",English,MAN_80,Strongly agree,2,5.5473
Veterans Affairs Canada,"British Columbia, Yukon",English,MAN_80,Somewhat agree,1,2.77365
Veterans Affairs Canada,National Capital Region,English,MAN_80,Strongly agree,7,18.87735
Veterans Affairs Canada,National Capital Region,English,MAN_80,Somewhat agree,4,10.90755
Veterans Affairs Canada,National Capital Region,English,MAN_80,Neither agree nor disagree,1,2.6295
Veterans Affairs Canada,National Capital Region,English,MAN_80,Unable to assess,1,2.73075
Veterans Affairs Canada,National Capital Region,French,MAN_80,Strongly agree,5,13.3929
Veterans Affairs Canada,National Capital Region,French,MAN_80,Somewhat agree,4,11.57805
Veterans Affairs Canada,National Capital Region,French,MAN_80,Somewhat disagree,1,2.8236
Veterans Affairs Canada,National Capital Region,French,MAN_80,Unable to assess,1,2.6295
Veterans Affairs Canada,Outside of Canada,English,MAN_80,Somewhat agree,1,2.73075
Department of Justice Canada,Atlantic,English,MAN_80,Somewhat agree,1,2.9691
Department of Justice Canada,Atlantic,French,MAN_80,Strongly agree,1,4.5
Department of Justice Canada,Quebec (excluding the National Capital Region),English,MAN_80,Strongly agree,1,2.86365
Department of Justice Canada,Quebec (excluding the National Capital Region),English,MAN_80,Somewhat agree,1,2.9691
Department of Justice Canada,Quebec (excluding the National Capital Region),French,MAN_80,Strongly agree,6,20.7768
Department of Justice Canada,Quebec (excluding the National Capital Region),French,MAN_80,Somewhat agree,2,7.983
Department of Justice Canada,Ontario (excluding the National Capital Region),English,MAN_80,Strongly agree,6,18.2169
Department of Justice Canada,Ontario (excluding the National Capital Region),English,MAN_80,Somewhat agree,2,9
Department of Justice Canada,Ontario (excluding the National Capital Region),French,MAN_80,Strongly agree,1,2.9691
Department of Justice Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_80,Strongly agree,9,32.9694
Department of Justice Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_80,Somewhat agree,4,13.10685
Department of Justice Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_80,Strongly disagree,1,2.9691
Department of Justice Canada,"Prairies, Nunavut, Northwest Territories",French,MAN_80,Strongly agree,2,7.4691
Department of Justice Canada,"British Columbia, Yukon",English,MAN_80,Strongly agree,10,35.24535
Department of Justice Canada,"British Columbia, Yukon",English,MAN_80,Somewhat agree,3,8.9073
Department of Justice Canada,National Capital Region,English,MAN_80,Strongly agree,50,166.78785
Department of Justice Canada,National Capital Region,English,MAN_80,Somewhat agree,15,54.5352
Department of Justice Canada,National Capital Region,English,MAN_80,Somewhat disagree,2,7.36365
Department of Justice Canada,National Capital Region,English,MAN_80,Strongly disagree,1,2.625
Department of Justice Canada,National Capital Region,English,MAN_80,Unable to assess,2,7.5
Department of Justice Canada,National Capital Region,French,MAN_80,Strongly agree,39,129.771
Department of Justice Canada,National Capital Region,French,MAN_80,Somewhat agree,20,66.5919
Department of Justice Canada,National Capital Region,French,MAN_80,Neither agree nor disagree,2,6.76725
Department of Justice Canada,National Capital Region,French,MAN_80,Somewhat disagree,2,5.59995
Department of Justice Canada,National Capital Region,French,MAN_80,Strongly disagree,1,3.54885
Department of Justice Canada,National Capital Region,French,MAN_80,Unable to assess,5,15.82725
Department of Justice Canada,Not stated,English,MAN_80,Strongly agree,1,4.5
Canadian Heritage,Atlantic,English,MAN_80,Strongly agree,1,2.83725
Canadian Heritage,Atlantic,French,MAN_80,Somewhat agree,1,2.83725
Canadian Heritage,Quebec (excluding the National Capital Region),English,MAN_80,Strongly agree,1,2.83725
Canadian Heritage,Quebec (excluding the National Capital Region),French,MAN_80,Somewhat agree,2,6.37395
Canadian Heritage,Ontario (excluding the National Capital Region),French,MAN_80,Strongly agree,1,4.1352
Canadian Heritage,"Prairies, Nunavut, Northwest Territories",English,MAN_80,Strongly agree,1,2.83725
Canadian Heritage,"Prairies, Nunavut, Northwest Territories",French,MAN_80,Strongly agree,3,9.40725
Canadian Heritage,"British Columbia, Yukon",English,MAN_80,Somewhat agree,1,3.45
Canadian Heritage,"British Columbia, Yukon",French,MAN_80,Strongly agree,1,3.12
Canadian Heritage,National Capital Region,English,MAN_80,Strongly agree,35,110.27085
Canadian Heritage,National Capital Region,English,MAN_80,Somewhat agree,15,47.9994
Canadian Heritage,National Capital Region,English,MAN_80,Neither agree nor disagree,1,2.83725
Canadian Heritage,National Capital Region,English,MAN_80,Somewhat disagree,1,2.83725
Canadian Heritage,National Capital Region,English,MAN_80,Unable to assess,3,9.1839
Canadian Heritage,National Capital Region,French,MAN_80,Strongly agree,70,221.9142
Canadian Heritage,National Capital Region,French,MAN_80,Somewhat agree,29,88.7625
Canadian Heritage,National Capital Region,French,MAN_80,Somewhat disagree,1,3.13815
Canadian Heritage,National Capital Region,French,MAN_80,Strongly disagree,2,8.71605
Canadian Heritage,National Capital Region,French,MAN_80,Unable to assess,4,13.89705
Public Service Commission of Canada,Quebec (excluding the National Capital Region),English,MAN_80,Strongly agree,2,5.7213
Public Service Commission of Canada,Quebec (excluding the National Capital Region),French,MAN_80,Strongly agree,2,6.7908
Public Service Commission of Canada,Quebec (excluding the National Capital Region),French,MAN_80,Somewhat agree,1,3.09465
Public Service Commission of Canada,Ontario (excluding the National Capital Region),French,MAN_80,Strongly agree,1,2.6463
Public Service Commission of Canada,"British Columbia, Yukon",English,MAN_80,Somewhat agree,1,2.6463
Public Service Commission of Canada,National Capital Region,English,MAN_80,Strongly agree,13,36.9228
Public Service Commission of Canada,National Capital Region,English,MAN_80,Somewhat agree,6,16.8096
Public Service Commission of Canada,National Capital Region,English,MAN_80,Strongly disagree,1,2.36535
Public Service Commission of Canada,National Capital Region,English,MAN_80,Unable to assess,1,3.58695
Public Service Commission of Canada,National Capital Region,French,MAN_80,Strongly agree,31,93.0189
Public Service Commission of Canada,National Capital Region,French,MAN_80,Somewhat agree,12,36.4302
Public Service Commission of Canada,National Capital Region,French,MAN_80,Strongly disagree,2,6.66195
Public Service Commission of Canada,National Capital Region,French,MAN_80,Unable to assess,2,5.60565
Public Service Commission of Canada,Not stated,Not stated,MAN_80,Neither agree nor disagree,1,2.96445
Immigration and Refugee Board of Canada,Atlantic,French,MAN_80,Somewhat agree,1,2.36835
Immigration and Refugee Board of Canada,Quebec (excluding the National Capital Region),English,MAN_80,Strongly agree,4,14.3214
Immigration and Refugee Board of Canada,Quebec (excluding the National Capital Region),French,MAN_80,Strongly agree,2,7.3959
Immigration and Refugee Board of Canada,Quebec (excluding the National Capital Region),French,MAN_80,Somewhat disagree,1,4.0875
Immigration and Refugee Board of Canada,Ontario (excluding the National Capital Region),English,MAN_80,Strongly agree,6,23.6322
Immigration and Refugee Board of Canada,Ontario (excluding the National Capital Region),English,MAN_80,Somewhat agree,2,7.4988
Immigration and Refugee Board of Canada,"British Columbia, Yukon",English,MAN_80,Strongly agree,6,24.13035
Immigration and Refugee Board of Canada,"British Columbia, Yukon",English,MAN_80,Somewhat agree,1,3.4113
Immigration and Refugee Board of Canada,National Capital Region,English,MAN_80,Strongly agree,8,35.02875
Immigration and Refugee Board of Canada,National Capital Region,English,MAN_80,Somewhat agree,4,14.3124
Immigration and Refugee Board of Canada,National Capital Region,English,MAN_80,Somewhat disagree,1,3.48
Immigration and Refugee Board of Canada,National Capital Region,English,MAN_80,Unable to assess,1,3.48
Immigration and Refugee Board of Canada,National Capital Region,French,MAN_80,Strongly agree,6,22.07955
Immigration and Refugee Board of Canada,National Capital Region,French,MAN_80,Somewhat agree,2,4.7367
Immigration and Refugee Board of Canada,National Capital Region,French,MAN_80,Somewhat disagree,1,3.4113
Department of Finance Canada,Ontario (excluding the National Capital Region),English,MAN_80,Somewhat agree,1,3.49995
Department of Finance Canada,National Capital Region,English,MAN_80,Strongly agree,19,73.062
Department of Finance Canada,National Capital Region,English,MAN_80,Somewhat agree,6,22.1991
Department of Finance Canada,National Capital Region,English,MAN_80,Unable to assess,3,11.37015
Department of Finance Canada,National Capital Region,French,MAN_80,Strongly agree,18,69.1074
Department of Finance Canada,National Capital Region,French,MAN_80,Somewhat agree,1,3.42465
Department of Finance Canada,National Capital Region,French,MAN_80,Unable to assess,1,3.9828
Canadian Grain Commission,Quebec (excluding the National Capital Region),English,MAN_80,Strongly disagree,1,2.40315
Canadian Grain Commission,Quebec (excluding the National Capital Region),French,MAN_80,Strongly agree,1,2.37645
Canadian Grain Commission,Quebec (excluding the National Capital Region),French,MAN_80,Somewhat agree,1,2.3667
Canadian Grain Commission,Ontario (excluding the National Capital Region),English,MAN_80,Strongly agree,1,2.56185
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",English,MAN_80,Strongly agree,22,53.41845
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",English,MAN_80,Somewhat agree,4,9.55575
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",English,MAN_80,Strongly disagree,1,2.54355
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",French,MAN_80,Strongly agree,2,4.82235
Canadian Grain Commission,"British Columbia, Yukon",English,MAN_80,Strongly agree,1,2.37645
Canadian Grain Commission,"British Columbia, Yukon",English,MAN_80,Somewhat agree,2,5.1054
Canadian Grain Commission,"British Columbia, Yukon",English,MAN_80,Unable to assess,1,2.56185
Treasury Board of Canada Secretariat,National Capital Region,English,MAN_80,Strongly agree,65,210.6216
Treasury Board of Canada Secretariat,National Capital Region,English,MAN_80,Somewhat agree,23,72.98145
Treasury Board of Canada Secretariat,National Capital Region,English,MAN_80,Neither agree nor disagree,2,6.5484
Treasury Board of Canada Secretariat,National Capital Region,English,MAN_80,Somewhat disagree,6,18.6
Treasury Board of Canada Secretariat,National Capital Region,English,MAN_80,Strongly disagree,5,15.10455
Treasury Board of Canada Secretariat,National Capital Region,English,MAN_80,Unable to assess,6,18.62265
Treasury Board of Canada Secretariat,National Capital Region,French,MAN_80,Strongly agree,46,145.07955
Treasury Board of Canada Secretariat,National Capital Region,French,MAN_80,Somewhat agree,18,57.15525
Treasury Board of Canada Secretariat,National Capital Region,French,MAN_80,Somewhat disagree,3,9.2934
Treasury Board of Canada Secretariat,National Capital Region,French,MAN_80,Strongly disagree,2,6.2217
Treasury Board of Canada Secretariat,National Capital Region,French,MAN_80,Unable to assess,2,6.3
Privy Council Office,National Capital Region,English,MAN_80,Strongly agree,25,119.40645
Privy Council Office,National Capital Region,English,MAN_80,Somewhat agree,6,27.62625
Privy Council Office,National Capital Region,English,MAN_80,Neither agree nor disagree,1,4.3065
Privy Council Office,National Capital Region,English,MAN_80,Somewhat disagree,3,15.6963
Privy Council Office,National Capital Region,English,MAN_80,Unable to assess,5,22.3533
Privy Council Office,National Capital Region,French,MAN_80,Strongly agree,18,88.1616
Privy Council Office,National Capital Region,French,MAN_80,Somewhat agree,12,51.92685
Privy Council Office,National Capital Region,French,MAN_80,Neither agree nor disagree,3,12.7893
Privy Council Office,National Capital Region,French,MAN_80,Unable to assess,1,3.9231
Courts Administration Service,Quebec (excluding the National Capital Region),French,MAN_80,Strongly agree,1,2.92215
Courts Administration Service,Ontario (excluding the National Capital Region),English,MAN_80,Strongly agree,2,6.7038
Courts Administration Service,"Prairies, Nunavut, Northwest Territories",English,MAN_80,Strongly agree,1,3.78165
Courts Administration Service,"British Columbia, Yukon",English,MAN_80,Strongly agree,1,3.78165
Courts Administration Service,"British Columbia, Yukon",English,MAN_80,Somewhat agree,1,3.78165
Courts Administration Service,National Capital Region,English,MAN_80,Strongly agree,6,22.0878
Courts Administration Service,National Capital Region,English,MAN_80,Somewhat agree,2,6.50415
Courts Administration Service,National Capital Region,English,MAN_80,Unable to assess,1,4.03845
Courts Administration Service,National Capital Region,French,MAN_80,Strongly agree,12,41.20155
Courts Administration Service,National Capital Region,French,MAN_80,Somewhat agree,4,15.3834
Courts Administration Service,National Capital Region,French,MAN_80,Neither agree nor disagree,1,2.92215
Courts Administration Service,National Capital Region,French,MAN_80,Strongly disagree,1,2.69685
Canadian Radio-television and TeleCommunications Commission,National Capital Region,English,MAN_80,Strongly agree,11,30.66615
Canadian Radio-television and TeleCommunications Commission,National Capital Region,English,MAN_80,Somewhat agree,7,17.4222
Canadian Radio-television and TeleCommunications Commission,National Capital Region,English,MAN_80,Unable to assess,2,5.4999
Canadian Radio-television and TeleCommunications Commission,National Capital Region,French,MAN_80,Strongly agree,16,47.0541
Canadian Radio-television and TeleCommunications Commission,National Capital Region,French,MAN_80,Somewhat agree,11,32.98335
Canadian Radio-television and TeleCommunications Commission,National Capital Region,French,MAN_80,Somewhat disagree,5,14.50185
Canadian Radio-television and TeleCommunications Commission,National Capital Region,French,MAN_80,Unable to assess,1,3.11775
Atlantic Canada Opportunities Agency,Atlantic,English,MAN_80,Strongly agree,26,78.3537
Atlantic Canada Opportunities Agency,Atlantic,English,MAN_80,Somewhat agree,2,6.68385
Atlantic Canada Opportunities Agency,Atlantic,French,MAN_80,Strongly agree,15,42.2424
Atlantic Canada Opportunities Agency,Atlantic,French,MAN_80,Somewhat agree,1,3.0789
Atlantic Canada Opportunities Agency,Atlantic,French,MAN_80,Neither agree nor disagree,1,2.2929
Atlantic Canada Opportunities Agency,National Capital Region,English,MAN_80,Strongly agree,1,3.0789
Atlantic Canada Opportunities Agency,National Capital Region,English,MAN_80,Unable to assess,1,2.1207
Atlantic Canada Opportunities Agency,National Capital Region,French,MAN_80,Strongly agree,1,3.375
Canadian Space Agency,Quebec (excluding the National Capital Region),English,MAN_80,Strongly agree,12,35.0562
Canadian Space Agency,Quebec (excluding the National Capital Region),English,MAN_80,Somewhat agree,2,5.7459
Canadian Space Agency,Quebec (excluding the National Capital Region),French,MAN_80,Strongly agree,34,115.2426
Canadian Space Agency,Quebec (excluding the National Capital Region),French,MAN_80,Somewhat agree,13,37.97775
Canadian Space Agency,Quebec (excluding the National Capital Region),French,MAN_80,Neither agree nor disagree,1,2.87295
Canadian Space Agency,Quebec (excluding the National Capital Region),French,MAN_80,Somewhat disagree,1,3.19995
Canadian Space Agency,Quebec (excluding the National Capital Region),French,MAN_80,Strongly disagree,1,2.9637
Canadian Space Agency,Quebec (excluding the National Capital Region),French,MAN_80,Unable to assess,3,8.7096
Canadian Space Agency,National Capital Region,English,MAN_80,Strongly agree,2,5.85855
Canadian Space Agency,National Capital Region,English,MAN_80,Somewhat agree,2,6.3999
Canada Economic Development for Québec Regions,Quebec (excluding the National Capital Region),English,MAN_80,Strongly agree,1,3.78
Canada Economic Development for Québec Regions,Quebec (excluding the National Capital Region),French,MAN_80,Strongly agree,16,47.09475
Canada Economic Development for Québec Regions,Quebec (excluding the National Capital Region),French,MAN_80,Somewhat agree,8,25.26345
Canada Economic Development for Québec Regions,Quebec (excluding the National Capital Region),French,MAN_80,Neither agree nor disagree,1,3.28035
Canada Economic Development for Québec Regions,Quebec (excluding the National Capital Region),French,MAN_80,Somewhat disagree,1,3.28035
Canada Economic Development for Québec Regions,National Capital Region,French,MAN_80,Strongly agree,1,2.55
Parole Board of Canada,Atlantic,French,MAN_80,Strongly agree,1,2.95875
Parole Board of Canada,Atlantic,French,MAN_80,Somewhat agree,1,3.11835
Parole Board of Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_80,Strongly agree,1,2.95875
Parole Board of Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_80,Strongly disagree,1,3.75
Parole Board of Canada,"British Columbia, Yukon",English,MAN_80,Somewhat agree,1,3.50505
