final_dept_e,Region_e,FOL_e,question_name,question_value,total_respondants,total_w_resp,shr_w_resp,sorter
All organisations,"Prairies, Nunavut, Northwest Territories",All official languages,MAN_45BG_e,No,634,1413.0499,1,19
All organisations,"Prairies, Nunavut, Northwest Territories",English,MAN_45BG_e,No,591,1309.504,1,19
All organisations,"Prairies, Nunavut, Northwest Territories",French,MAN_35BB_e,No,11,25.5286,1,19
All organisations,"Prairies, Nunavut, Northwest Territories",French,MAN_35BH_e,No,11,25.5286,1,19
All organisations,"Prairies, Nunavut, Northwest Territories",French,MAN_45BG_e,No,35,83.4041,1,19
All organisations,"Prairies, Nunavut, Northwest Territories",French,MAN_55C_e,None,46,105.4392,1,20
All organisations,"Prairies, Nunavut, Northwest Territories",Not stated,ALL_25_e,No,29,63.6408,1,19
All organisations,"Prairies, Nunavut, Northwest Territories",Not stated,MAN_25B_e,Yes,10,24.8947,1,18
All organisations,"Prairies, Nunavut, Northwest Territories",Not stated,MAN_25C_e,No,10,24.8947,1,19
All organisations,"Prairies, Nunavut, Northwest Territories",Not stated,MAN_35A_e,No,10,24.8947,1,19
All organisations,Quebec (excluding the National Capital Region),All official languages,MAN_45BG_e,No,502,1107.7001,1,19
All organisations,Quebec (excluding the National Capital Region),English,MAN_35BB_e,No,10,22.1496,1,19
All organisations,Quebec (excluding the National Capital Region),English,MAN_35BF_e,No,10,22.1496,1,19
All organisations,Quebec (excluding the National Capital Region),English,MAN_35BG_e,No,10,22.1496,1,19
All organisations,Quebec (excluding the National Capital Region),English,MAN_45BG_e,No,51,111.4217,1,19
All organisations,Quebec (excluding the National Capital Region),French,MAN_45BG_e,No,449,991.5358,1,19
All organisations,Quebec (excluding the National Capital Region),Not stated,ALL_25_e,No,19,41.8695,1,19
Atlantic Canada Opportunities Agency,All regions,All official languages,MAN_45BF_e,No,22,45.893,1,19
Atlantic Canada Opportunities Agency,All regions,All official languages,MAN_45BG_e,No,22,45.893,1,19
Atlantic Canada Opportunities Agency,All regions,All official languages,MAN_45BH_e,No,22,45.893,1,19
Atlantic Canada Opportunities Agency,All regions,All official languages,MAN_50F_e,Yes,45,87.9931,1,18
Atlantic Canada Opportunities Agency,All regions,English,MAN_35A_e,No,30,60.1581,1,19
Atlantic Canada Opportunities Agency,All regions,English,MAN_40BD_e,No,21,42.5928,1,19
Atlantic Canada Opportunities Agency,All regions,English,MAN_45BF_e,No,16,33.7507,1,19
Atlantic Canada Opportunities Agency,All regions,English,MAN_45BG_e,No,16,33.7507,1,19
Atlantic Canada Opportunities Agency,All regions,English,MAN_45BH_e,No,16,33.7507,1,19
Atlantic Canada Opportunities Agency,All regions,English,MAN_50F_e,Yes,28,56.0529,1,18
Atlantic Canada Opportunities Agency,All regions,English,MAN_50J_e,No,19,38.3874,1,19
Atlantic Canada Opportunities Agency,All regions,French,MAN_25C_e,No,18,33.9928,1,19
Atlantic Canada Opportunities Agency,All regions,French,MAN_50F_e,Yes,17,31.9402,1,18
Atlantic Canada Opportunities Agency,All regions,French,MAN_50H_e,Yes,16,30.3227,1,18
Atlantic Canada Opportunities Agency,All regions,French,MAN_55C_e,None,11,21.5491,1,20
Atlantic Canada Opportunities Agency,Atlantic,All official languages,MAN_45BF_e,No,21,43.643,1,19
